,Unnamed: 0,callDateTime,priority,district,description,callNumber,incidentLocation,location
0,0,2015-07-13 10:41:00,Medium,CD,SEE TEXT,P151941002,0 N CALVERT ST,"(39.2899299,-76.6123462)"
1,1,2015-07-13 10:47:00,Medium,CD,911/NO  VOICE,P151941003,600 E FAYETTE ST,"(39.2906737,-76.6071600)"
2,2,2015-07-13 10:42:00,Medium,CD,911/NO  VOICE,P151941004,200 E BALTIMORE ST,"(39.2898910,-76.6120720)"
3,3,2015-07-13 10:45:00,Low,CD,PRKG COMPLAINT,P151941005,800 PARK AV,"(39.2985163,-76.6184754)"
4,4,2015-07-13 10:46:00,Medium,SW,AUTO THEFT,P151941006,3500 CLIFTON AV,"(39.3112130,-76.6763150)"
5,5,2015-07-13 10:47:00,Medium,ND,FAMILY DISTURB,P151941007,2700 N CALVERT ST,"(39.3208510,-76.6147390)"
6,6,2015-07-13 10:46:00,High,WD,SILENT ALARM,P151941008,2100 W NORTH AV,"(39.3097096,-76.6513109)"
7,7,2015-07-13 10:49:00,Low,SW,AUTO ACCIDENT,P151941010,3100 WILKENS AV,"(39.2756929,-76.6664179)"
8,8,2015-07-13 10:48:00,Medium,NE,FAMILY DISTURB,P151941011,4800 GILRAY DR,"(39.3483090,-76.5768440)"
9,9,2015-07-13 10:49:00,Medium,ND,NARCOTICSOutside,P151941012,W GARRISON AV/PIMLICO RD,"(39.349653,-76.669145)"
10,10,2015-07-13 10:49:00,Low,CD,UNKNOWN TROUBLE,P151941013,400 W FRANKLIN ST,"(39.2950980,-76.6214710)"
11,11,2015-07-13 10:52:00,Non-Emergency,CD,FOLLOW UP,P151941014,1500 PENNSYLVANIA AV,"(39.3022430,-76.6330752)"
12,12,2015-07-13 10:52:00,High,SW,AUTO ACC/INJURY,P151941015,1100 COOKS LN,"(39.2981477,-76.7098689)"
13,13,2015-07-13 10:53:00,Non-Emergency,SW,Repairs/Service,P151941016,100,"(39.3810499,-76.6572571)"
14,14,2015-07-13 10:51:00,Low,CD,AUTO ACCIDENT,P151941017,W LOMBARD ST/S GREENE ST,"(39.287402,-76.623583)"
15,15,2015-07-13 10:54:00,High,SW,AUTO ACC/INJURY,P151941018,1200 COOKS LN,"(39.2990896,-76.7111397)"
16,16,2015-07-13 10:54:00,Medium,SE,DISORDERLY,P151941020,3300 E FAYETTE ST,"(39.2950660,-76.5708960)"
17,17,2015-07-13 10:53:00,Low,SE,INVESTIGATE,P151941021,3300 E FAYETTE ST,"(39.2950660,-76.5708960)"
18,18,2015-07-13 10:53:00,Medium,SD,NARCOTICSOutside,P151941022,1900 BLK LEMMON ST,"(39.2856830,-76.6467971)"
19,19,2015-07-13 10:53:00,Medium,SW,911/NO  VOICE,P151941023,900 S CATON AV,"(39.2724121,-76.6723831)"
20,20,2015-07-13 10:54:00,Low,NE,OTHER,P151941024,1600 STONEWOOD RD,"(39.3487599,-76.5876087)"
21,21,2015-07-13 10:54:00,Non-Emergency,ND,Private Tow,P151941025,2000 MARYLAND AV,"(39.3126394,-76.6186925)"
22,22,2015-07-13 10:54:00,Medium,WD,BURGLARY,P151941026,1600 BRUCE CT,"(39.3066998,-76.6457852)"
23,23,2015-07-13 10:55:00,Low,CW,RECOVERED VEH,P151941027,2900 WESTWOOD AV,"(39.3083389,-76.6662570)"
24,24,2015-07-13 10:53:00,Medium,WD,SUSPICIOUS PERS,P151941028,2100 N SMALLWOOD ST,"(39.3118690,-76.6531200)"
25,25,2015-07-13 10:50:00,Medium,CD,911/NO  VOICE,P151941029,200 N PACA ST,"(39.2918833,-76.6226802)"
26,26,2015-07-13 10:55:00,Medium,ND,BURGLARY,P151941030,3500 CHESTNUT AV,"(39.3300300,-76.6296080)"
27,27,2015-07-13 10:53:00,Medium,SE,CHK WELLBEING,P151941031,6700 GARY AV,"(39.2803870,-76.5338650)"
28,28,2015-07-13 10:54:00,Medium,CD,911/NO  VOICE,P151941032,500 N CHARLES ST,"(39.2951171,-76.6155403)"
29,29,2015-07-13 10:54:00,High,SE,SILENT ALARM,P151941033,2600 E BALTIMORE ST,"(39.2922790,-76.5802860)"
30,30,2015-07-13 10:51:00,Low,CD,DESTRUCT PROPTY,P151941034,1500 PARK AV,"(39.3075460,-76.6253770)"
31,31,2015-07-13 10:54:00,Low,NW,FALSE PRETENSE,P151941035,5900 PARK HEIGHTS AV,"(39.3558016,-76.6889025)"
32,32,2015-07-13 10:55:00,Medium,SW,AUTO ACCIDENT,P151941036,1200 COOKS LN,"(39.2990896,-76.7111397)"
33,33,2015-07-13 10:56:00,Medium,SE,911/NO  VOICE,P151941038,2100 BOSTON ST,"(39.2846619,-76.5866615)"
34,34,2015-07-13 10:57:00,Medium,SE,LARCENY F/AUTO,P151941039,E LOMBARD ST/S COLLINGTON AV,"(39.290677,-76.586158)"
35,35,2015-07-13 10:57:00,High,NW,SILENT ALARM,P151941040,4100 MONDAWMIN AV,"(39.3154440,-76.6842720)"
36,36,2015-07-13 09:33:00,Non-Emergency,ND,FOLLOW UP,P151941041,1000 W 38TH ST,"(39.3343125,-76.6334187)"
37,37,2015-07-13 10:58:00,Low,NW,AUTO ACCIDENT,P151941042,5400 REISTERSTOWN RD,"(39.3460230,-76.6883340)"
38,38,2015-07-13 10:57:00,Medium,SW,911/NO  VOICE,P151941043,3200 FREDERICK AV,"(39.2805996,-76.6699645)"
39,39,2015-07-13 10:58:00,Non-Emergency,CD,Private Tow,P151941044,1100 BOLTON ST,"(39.3035674,-76.6236311)"
40,40,2015-07-13 10:49:00,Non-Emergency,NE,INVESTIGATE AUTO,P151941045,1500 KENNEWICK RD,"(39.3347790,-76.5941570)"
41,41,2015-07-13 10:59:00,Low,WD,OTHER,P151941046,1700 W LEXINGTON ST,"(39.2908640,-76.6441260)"
42,42,2015-07-13 10:56:00,Low,SW,INVEST,P151941047,N FRANKLINTOWN RD/EDMONDSON AV,"(39.294468,-76.663321)"
43,43,2015-07-13 10:57:00,Medium,SE,DISORDERLY,P151941048,3300 E FAYETTE ST,"(39.2950660,-76.5708960)"
44,44,2015-07-13 11:01:00,Medium,SD,NARCOTICSOutside,P151941049,1900 W LOMBARD ST,"(39.2863280,-76.6469680)"
45,45,2015-07-13 11:00:00,High,ED,SILENT ALARM,P151941050,900 E PRESTON ST,"(39.3051441,-76.6049921)"
46,46,2015-07-13 11:01:00,High,ED,SILENT ALARM,P151941051,1600 E CHASE ST,"(39.3033370,-76.5963690)"
47,47,2015-07-13 11:02:00,Medium,CD,COMMON ASSAULT,P151941052,0 S PACA ST,"(39.2880705,-76.6222292)"
48,48,2015-07-13 11:00:00,Low,ED,DESTRUCT PROPTY,P151941053,1600 E OLIVER ST,"(39.3075970,-76.5963340)"
49,49,2015-07-13 11:05:00,Non-Emergency,CW,Tow - DO NOT USE,P151941055,2300 MCCULLOH ST,"(39.3107070,-76.6376230)"
50,50,2015-07-13 11:04:00,Medium,CD,911/NO  VOICE,P151941057,600 E FAYETTE ST,"(39.2906737,-76.6071600)"
51,51,2015-07-13 11:04:00,Medium,SE,911/NO  VOICE,P151941058,100 N LUZERNE AV,"(39.2932710,-76.5807600)"
52,52,2015-07-13 11:06:00,Low,SD,Transport,P151941060,SOUTHERN DISTRICT,"(39.253253,-76.615524)"
53,53,2015-07-13 11:03:00,Medium,ED,911/NO  VOICE,P151941061,600 N WOLFE ST,"(39.2972451,-76.5922121)"
54,54,2015-07-13 11:06:00,Low,NE,AUTO ACCIDENT,P151941062,E COLD SPRING LN/HARFORD RD,"(39.342808,-76.569129)"
55,55,2015-07-13 11:06:00,Medium,ND,AUTO THEFT,P151941064,4200 ST GEORGES AV,"(39.3416280,-76.6031210)"
56,56,2015-07-13 11:06:00,Medium,ED,DISORDERLY,P151941065,1600 E CHASE ST,"(39.3033370,-76.5963690)"
57,57,2015-07-13 11:05:00,Medium,SE,BURGLARY,P151941067,100 N MILTON AV,"(39.2932140,-76.5822050)"
58,58,2015-07-13 11:07:00,High,NE,AUTO ACC/INJURY,P151941068,HARFORD RD/E COLD SPRING LN,"(39.342808,-76.569129)"
59,59,2015-07-13 11:09:00,High,NE,AUTO ACC/INJURY,P151941069,HARFORD RD/E COLD SPRING LN,"(39.342808,-76.569129)"
60,60,2015-07-13 11:09:00,Non-Emergency,WD,TOWED VEHICLE,P151941070,100 N FULTON AV,"(39.2895849,-76.6452986)"
61,61,2015-07-13 11:08:00,Medium,ED,AED NONBREATHING,P151941071,1800 N REGESTER ST,"(39.3110140,-76.5943379)"
62,62,2015-07-13 11:08:00,Low,NE,HIT AND RUN,P151941072,E COLD SPRING LN/HARFORD RD,"(39.342808,-76.569129)"
63,63,2016-05-07 10:59:00,High,NE,Traffic Stop,P161281026,SINCLAIR LN/EDISON HY,"(39.314322,-76.573130)"
64,64,2016-05-07 10:57:00,Medium,CD,NARCOTICSOutside,P161281028,2200 BLK CALLOW AV,"(39.3128040,-76.6317270)"
65,65,2016-05-07 11:01:00,High,NE,Traffic Stop,P161281030,WALTHER AV/FRANKFORD AV,"(39.346063,-76.556117)"
66,66,2016-05-07 10:59:00,Medium,ED,NARCOTICS INSIDE,P161281031,2100 KENNEDY AV,"(39.3145199,-76.6031121)"
67,67,2016-05-07 11:00:00,Medium,SW,AUTO THEFT,P161281032,1000 N ELLAMONT ST,"(39.3005730,-76.6702670)"
